Grupo,Logo,ID,Equipo,Pts,PJ,PG,PE,PP,GF,GC,Dif
Grupo A,DX1_logo,DX1,Dominio X+1,9,3,3,0,0,26,7,19
Grupo A,SCH_logo,SCH,Schalke 23,6,3,2,0,1,10,13,-3
Grupo A,PAB_logo,PAB,Pabellón A,3,3,1,0,2,7,12,-5
Grupo A,QUE_logo,QUE,El Queme,0,3,0,0,3,6,17,-11
Grupo B,SSO_logo,SSO,San Sócalo,7,3,2,1,0,13,5,8
Grupo B,ANT_logo,ANT,Anti Canva F. C.,6,3,2,0,1,6,9,-3
Grupo B,TAR_logo,TAR,Tartagal F. C.,4,3,1,1,1,9,6,3
Grupo B,EXP_logo,EXP,Expensive Bottles,0,3,0,0,3,5,13,-8
Grupo C,HDV_logo,HDV,Herederos de Vega,9,3,3,0,0,27,2,25
Grupo C,BAS_logo,BAS,Bastardos de Richard,6,3,2,0,1,18,3,15
Grupo C,ARQ_logo,ARQ,Arquero Fantasma,3,3,1,0,2,13,8,5
Grupo C,GHO_logo,GHO,Ghostbusters,0,3,0,0,3,2,47,-45
Grupo D,ADO_logo,ADO,Adobe F. C.,6,3,2,0,1,10,8,2
Grupo D,EVS_logo,EVS,Evolutions F. C.,6,3,2,0,1,13,6,7
Grupo D,RAM_logo,RAM,Rama y sus Ramitas,4,3,1,1,1,8,12,-4
Grupo D,PMA_logo,PMA,Poca Magia F. C.,1,3,0,1,2,3,8,-5
